resp_name	a
prod.detectportal.prod.cloudops.mozgcp.net	34.107.221.82
prod.remote-settings.prod.webservices.mozgcp.net	34.149.100.209
profile.accounts.firefox.com	34.110.207.168
a1887.dscq.akamai.net	184.84.233.67
a1887.dscq.akamai.net	184.84.233.97
autopush.prod.mozaws.net	34.107.243.93
prod.tokenserver.prod.cloudops.mozgcp.net	34.107.141.31
api.accounts.firefox.com	34.117.14.220
prod.tokenserver.prod.cloudops.mozgcp.net	34.107.141.31
prod.tokenserver.prod.cloudops.mozgcp.net	34.107.141.31
sync-1-us-west1-g.sync.services.mozilla.com	35.186.227.140
cdnjs.cloudflare.com	104.17.25.14
cdnjs.cloudflare.com	104.17.24.14
platform.twitter.map.fastly.net	199.232.20.157
scontent.xx.fbcdn.net	163.70.143.4
code.jquery.com	151.101.66.137
code.jquery.com	151.101.2.137
code.jquery.com	151.101.130.137
code.jquery.com	151.101.194.137
jsdelivr.map.fastly.net	151.101.153.229
safebrowsing.googleapis.com	142.250.195.10
fonts.googleapis.com	142.250.194.106
youtube-ui.l.google.com	142.250.199.174
youtube-ui.l.google.com	142.250.183.14
youtube-ui.l.google.com	142.250.70.46
youtube-ui.l.google.com	142.250.70.110
youtube-ui.l.google.com	142.250.183.142
youtube-ui.l.google.com	142.250.182.206
youtube-ui.l.google.com	142.250.71.110
youtube-ui.l.google.com	142.250.183.206
youtube-ui.l.google.com	142.250.66.14
youtube-ui.l.google.com	142.251.42.110
youtube-ui.l.google.com	142.250.183.174
youtube-ui.l.google.com	142.250.70.78
youtube-ui.l.google.com	142.250.77.46
youtube-ui.l.google.com	142.250.77.78
youtube-ui.l.google.com	142.250.199.142
youtube-ui.l.google.com	142.250.182.238
fonts.gstatic.com	142.250.194.163
fp2e7a.wpc.phicdn.net	152.195.38.76
fp2e7a.wpc.phicdn.net	152.195.38.76
fp2e7a.wpc.phicdn.net	152.195.38.76
fp2e7a.wpc.phicdn.net	152.195.38.76
fp2e7a.wpc.phicdn.net	152.195.38.76
pki-goog.l.google.com	142.250.199.163
pki-goog.l.google.com	142.250.199.163
jnn-pa.googleapis.com	142.250.195.10
jnn-pa.googleapis.com	142.250.77.202
jnn-pa.googleapis.com	216.58.200.202
jnn-pa.googleapis.com	142.250.207.202
jnn-pa.googleapis.com	142.250.194.202
jnn-pa.googleapis.com	142.250.207.234
jnn-pa.googleapis.com	172.217.161.10
jnn-pa.googleapis.com	142.250.182.170
jnn-pa.googleapis.com	142.250.77.234
jnn-pa.googleapis.com	142.250.194.138
jnn-pa.googleapis.com	142.250.194.234
jnn-pa.googleapis.com	172.217.166.202
jnn-pa.googleapis.com	142.250.194.170
jnn-pa.googleapis.com	172.217.167.42
jnn-pa.googleapis.com	172.217.167.234
jnn-pa.googleapis.com	142.250.194.106
www.google.com	142.250.193.36
i.ytimg.com	142.250.194.54
i.ytimg.com	142.250.206.182
i.ytimg.com	142.250.193.22
i.ytimg.com	142.250.194.22
i.ytimg.com	142.250.194.118
i.ytimg.com	142.250.194.150
i.ytimg.com	142.250.193.214
i.ytimg.com	142.250.194.182
i.ytimg.com	142.250.206.118
i.ytimg.com	142.250.193.246
i.ytimg.com	142.250.193.86
i.ytimg.com	142.250.192.182
i.ytimg.com	142.250.206.150
i.ytimg.com	142.250.193.54
i.ytimg.com	142.250.194.86
i.ytimg.com	142.250.192.214
photos-ugc.l.googleusercontent.com	142.250.182.193
syndication.twitter.com	104.244.42.72
syndication.twitter.com	104.244.42.200
syndication.twitter.com	104.244.42.8
syndication.twitter.com	104.244.42.136
syndication.twitter.com	104.244.42.200
syndication.twitter.com	104.244.42.72
syndication.twitter.com	104.244.42.8
syndication.twitter.com	104.244.42.136
star-mini.c10r.facebook.com	163.70.143.35
a1887.dscq.akamai.net	184.84.233.67
a1887.dscq.akamai.net	184.84.233.97
scontent.xx.fbcdn.net	163.70.143.4
scontent-bom2-1.xx.fbcdn.net	163.70.143.4
scontent-bom1-2.xx.fbcdn.net	31.13.79.26
scontent-bom1-1.xx.fbcdn.net	157.240.16.20
abs-zero.twimg.com	104.244.43.131
cs510.wpc.edgecastcdn.net	152.199.43.83
cs672.wac.edgecastcdn.net	192.229.237.96
ipv4only.arpa	192.0.0.171
ipv4only.arpa	192.0.0.170
example.org	93.184.216.34
prod.detectportal.prod.cloudops.mozgcp.net	34.107.221.82
part-0044.t-0009.t-msedge.net	13.107.246.72
part-0044.t-0009.t-msedge.net	13.107.213.72
part-0044.t-0009.t-msedge.net	13.107.246.72
part-0044.t-0009.t-msedge.net	13.107.213.72
ajax.googleapis.com	142.250.192.10
a1988.dscg1.akamai.net	180.149.59.145
a1988.dscg1.akamai.net	180.149.59.147
a1988.dscg1.akamai.net	180.149.59.145
a1988.dscg1.akamai.net	180.149.59.147
part-0044.t-0009.t-msedge.net	13.107.213.72
part-0044.t-0009.t-msedge.net	13.107.246.72
e4350.g.akamaiedge.net	23.205.218.112
e4350.g.akamaiedge.net	23.205.218.112
connectivity-check.ubuntu.com	91.189.91.48
connectivity-check.ubuntu.com	185.125.190.17
connectivity-check.ubuntu.com	185.125.190.48
connectivity-check.ubuntu.com	35.232.111.17
connectivity-check.ubuntu.com	185.125.190.49
connectivity-check.ubuntu.com	185.125.190.18
connectivity-check.ubuntu.com	91.189.91.49
connectivity-check.ubuntu.com	35.224.170.84
connectivity-check.ubuntu.com	34.122.121.32
telemetry-incoming.r53-2.services.mozilla.com	34.120.208.123
